F_number,session,date,Month,day,time,altitude,use
1,230510_1,2023/5/10,5,10,9:32:00,139,T
2,230510_2,2023/5/10,5,10,10:29:00,139,T
3,230511_1,2023/5/11,5,11,8:58:00,139,T
4,230511_2,2023/5/11,5,11,9:59:00,139,T
5,230511_3,2023/5/11,5,11,10:58:00,139,T
6,230511_4,2023/5/11,5,11,11:58:00,139,T
7,230512_1,2023/5/12,5,12,8:58:00,139,T
8,230512_2,2023/5/12,5,12,9:58:00,139,T
9,230512_3,2023/5/12,5,12,10:58:00,139,T
10,230512_4,2023/5/12,5,12,12:02:00,139,T
11,230513_1,2023/5/13,5,13,8:59:00,139,T
12,230513_2,2023/5/13,5,13,10:00:00,139,T
13,230513_3,2023/5/13,5,13,10:58:00,139,T
14,230514_1,2023/5/14,5,14,9:15:00,149,T
15,230514_2,2023/5/14,5,14,10:17:00,149,T
16,230618_1,2023/6/18,6,18,9:59:00,139,T
17,230618_2,2023/6/18,6,18,10:26:00,139,T
18,230618_3,2023/6/18,6,18,10:55:00,139,T
19,230618_4,2023/6/18,6,18,11:26:00,139,T
20,230618_5,2023/6/18,6,18,11:56:00,139,T
21,230619_1,2023/6/19,6,19,9:01:00,139,T
22,230619_2,2023/6/19,6,19,10:04:00,139,T
23,230619_3,2023/6/19,6,19,10:36:00,139,T
24,230620_1,2023/6/19,6,20,8:32:00,139,T
25,230620_2,2023/6/20,6,20,9:04:00,139,T
26,230620_3,2023/6/20,6,20,9:34:00,139,T
27,230620_4,2023/6/20,6,20,10:03:00,139,T
28,230620_5,2023/6/20,6,20,10:34:00,139,T
29,230621_1,2023/6/21,6,21,8:33:00,139,T
30,230621_2,2023/6/21,6,21,9:02:00,139,T
31,230621_3,2023/6/21,6,21,9:33:00,139,T